name,cuisine,location,link
Lafayette Coffee Shop - GHD,"American, Diner","611 Larkin St San Francisco, CA, 94109 ",/ca/san-francisco/81799-lafayette-coffee-shop-ghd/menu/
KFC,"American, Chicken","691 Eddy St San Francisco, CA, 94109 ",/ca/san-francisco/197759-kfc/menu/
Kiki Japanese Restaurant,"Japanese, Sushi","1269 9th Ave San Francisco, CA, 94122 ",/ca/san-francisco/44446-kiki-japanese-restaurant/menu/
Oye Managua,Latin American,"3385 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63666-oye-managua/menu/
Ganim's Market,"Burgers, Sandwiches","1135 18th St San Francisco, CA, 94107 ",/ca/san-francisco/61816-ganims-market/menu/
Pancho's Salsa Bar & Grill,Mexican,"1639 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/44551-panchos-salsa-bar-grill/menu/
McCormick & Kuleto's Seafood & Steaks,"American (New), Seafood, Steak","900 North Point St San Francisco, CA, 94109 ",/ca/san-francisco/22449-mccormick-kuletos-seafood-steaks/menu/
Round Table Pizza,"American, Pizza","2660 San Bruno Ave San Francisco, CA, 94134 ",/ca/san-francisco/75349-round-table-pizza/menu/
Pancho's Mexican Grill,Mexican,"3440 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/50049-panchos-mexican-grill/menu/
King Lee's Chinese Restaurant,Chinese,"1426a Filmore St San Francisco, CA, 94115 ",/ca/san-francisco/49952-king-lees-chinese-restaurant/menu/
Pazzia Restaurant & Pizzeria,"Italian, Pizza","337 3rd St San Francisco, CA, 94107 ",/ca/san-francisco/91343-pazzia-restaurant-pizzeria/menu/
Chloe's Cafe,"American, Sandwiches","1399 Church St San Francisco, CA, 94114 ",/ca/san-francisco/61144-chloes-cafe/menu/
El Toreador Restaurant,Mexican,"50 West Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/62139-el-toreador-restaurant/menu/
Sushi Fantastic,"Japanese, Sushi","215 Fremont St Ste 2A San Francisco, CA, 94105 ",/ca/san-francisco/114399-sushi-fantastic/menu/
Crepevine Restaurant,"Bistro, Crepes, French","624 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44518-crepevine-restaurant/menu/
Zuni Cafe,"Californian, Mediterranean","1658 Market St San Francisco, CA, 94102 ",/ca/san-francisco/267489-zuni-cafe/menu/
Heung Yuen Restaurant,"Chinese, Mexican","3279 22nd St San Francisco, CA, 94110 ",/ca/san-francisco/63220-heung-yuen-restaurant/menu/
Chef Hung's Restaurant,Chinese,"823 Clay St San Francisco, CA, 94108 ",/ca/san-francisco/46645-chef-hungs-restaurant/menu/
Sliders Diner,Diner,"1202 Sutter St San Francisco, CA, 94109 ",/ca/san-francisco/44779-sliders-diner/menu/
Pho Ha Tien Restaurants,"Sandwiches, Vietnamese","1900 Ocean Ave San Francisco, CA, 94112 ",/ca/san-francisco/273983-pho-ha-tien-restaurants/menu/
Izzy's Steaks & Chops,"Seafood, Steak","3345 Steiner St San Francisco, CA, 94123 ",/ca/san-francisco/20217-izzys-steaks-chops/menu/
Mandalay,"Burmese, Chinese","4348 California St San Francisco, CA, 94118 ",/ca/san-francisco/62729-mandalay/menu/
Holy Grill,Burgers,"659 Townsend St San Francisco, CA, 94103 ",/ca/san-francisco/93928-holy-grill/menu/
Marcello's Pizza,"Pizza, Sandwiches","420 Castro St San Francisco, CA, 94114 ",/ca/san-francisco/63713-marcellos-pizza/menu/
Cafe Jacqueline,French,"1454 Grant Ave San Francisco, CA, 94133 ",/ca/san-francisco/275841-cafe-jacqueline/menu/
Roma Pizzeria,"Italian, Pizza","5099 Mission St San Francisco, CA, 94112 ",/ca/san-francisco/81839-roma-pizzeria/menu/
Noriega Teriyaki House,"Japanese, Sushi","1755 Noriega St San Francisco, CA, 94122 ",/ca/san-francisco/44576-noriega-teriyaki-house/menu/
Pearl's Deluxe Burgers,Burgers,"708 Post Street San Francisco, CA, 94109 ",/ca/san-francisco/46163-pearls-deluxe-burgers/menu/
Brothers Pizza,"Indian, Italian, Pizza, Sandwiches","3627 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/44774-brothers-pizza/menu/
Capurro's Restaurant & Bar,"Italian, Seafood","498 Jefferson Street San Francisco, CA, 94109 ",/ca/san-francisco/21302-capurros-restaurant-bar/menu/
Kevin's Noodle House,Vietnamese,"1833 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/276239-kevins-noodle-house/menu/
House of Bagels,"Bagels, Deli Food, Sandwiches","5030 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/61978-house-of-bagels/menu/
Pizza Express,Pizza,"813 Cortland Ave San Francisco, CA, 94110 ",/ca/san-francisco/368096-pizza-express/menu/
City View Restaurant,"Chinese, Dim Sum","662 Commercial St San Francisco, CA, 94111 ",/ca/san-francisco/276214-city-view-restaurant/menu/
Manora's Thai Cuisine,Thai,"1600 Folsom St San Francisco, CA, 94103 ",/ca/san-francisco/276060-manoras-thai-cuisine/menu/
Mixt,"Salads, Sandwiches","70 Mission St San Francisco, CA, 94105 ",/ca/san-francisco/362494-mixt/menu/
Red Jade Restaurant,Chinese,"245 Church St San Francisco, CA, 94114 ",/ca/san-francisco/63678-red-jade-restaurant/menu/
Taqueria La Iguana Azul,Mexican,"928 Geneva Ave San Francisco, CA, 94112 ",/ca/san-francisco/81794-taqueria-la-iguana-azul/menu/
Victor's Pizza,"Italian, Pizza","1411 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/44562-victors-pizza/menu/
Bursa Kebab,"Mediterranean, Middle Eastern, Turkish","60 W Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/62140-bursa-kebab/menu/
Wing Lum,Chinese,"1150 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/45525-wing-lum/menu/
El Toro Taqueria,Mexican,"598 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/63228-el-toro-taqueria/menu/
Kezar Bar & Restaurant,"American, Bar Food, Wings","900 Cole St San Francisco, CA, 94117 ",/ca/san-francisco/93917-kezar-bar-restaurant/menu/
Alioto's,"Italian, Seafood","8 Fishermans Wharf San Francisco, CA, 94133 ",/ca/san-francisco/20720-aliotos/menu/
Oda Restaurant and Brewery,,"1500 Owens St San Francisco, CA, 94158 ",/ca/san-francisco/484943-oda-restaurant-and-brewery/menu/
Moscow & Tbilisi Bakery Store,"American, Bakery & Pastries","5540 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/275910-moscow-tbilisi-bakery-store/menu/
Napoli Pizza,"Italian, Pizza","1045 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/63126-napoli-pizza/menu/
Moshi Moshi,"Japanese, Sushi, Vegetarian","2092 3rd Street San Francisco, CA, 94107 ",/ca/san-francisco/276309-moshi-moshi/menu/
AK Subs,"Deli Food, Sandwiches","397 8th St San Francisco, CA, 94103 ",/ca/san-francisco/282518-ak-subs/menu/
Serrano's Pizza,"Italian, Pizza","3274 21st St San Francisco, CA, 94110 ",/ca/san-francisco/63221-serranos-pizza/menu/
Emmy's Chinese Restaurant,Chinese,"1923 Ocean Ave San Francisco, CA, 94127 ",/ca/san-francisco/62157-emmys-chinese-restaurant/menu/
The Mango Tree,Korean,"2325 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/275821-the-mango-tree/menu/
Le Soleil,Vietnamese,"133 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62743-le-soleil/menu/
Swamp,"Cajun & Creole, Seafood","5423 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/320039-swamp/menu/
Toy Boat Dessert Cafe,"Coffee & Tea, Desserts, Sandwiches, Smoothies & Juices","401 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62733-toy-boat-dessert-cafe/menu/
Yum Yum Hunan,Chinese,"1828 Divisidero St San Francisco, CA, 94115 ",/ca/san-francisco/285487-yum-yum-hunan/menu/
Big Mouth Burgers,"Burgers, Sandwiches","3392 24th St San Francisco, CA, 94110 ",/ca/san-francisco/63218-big-mouth-burgers/menu/
Pete's Deli & Cafe,"Burgers, Deli Food, Sandwiches","1661 Divisadero St San Francisco, CA, 94115 ",/ca/san-francisco/50034-petes-deli-cafe/menu/
The Codmother,Fish & Chips,"496 Beach St San Francisco, CA, 94133 ",/ca/san-francisco/355658-the-codmother/menu/
Kingâs Thai Cuisine 1,"Noodles, Thai","639 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62191-kings-thai-cuisine-1/menu/
Sea Breeze Cafe,"American, Seafood","3940 Judah St San Francisco, CA, 94122 ",/ca/san-francisco/44888-sea-breeze-cafe/menu/
Paprika,"Eastern European, Gastropub","3324 24th St San Francisco, CA, 94110 ",/ca/san-francisco/373378-paprika/menu/
Velo Rouge Cafe,"Coffee & Tea, Pizza, Sandwiches","798 Arguello Blvd San Francisco, CA, 94118 ",/ca/san-francisco/275997-velo-rouge-cafe/menu/
707 Sutter,Korean,"707 Sutter St San Francisco, CA, 94109 ",/ca/san-francisco/373351-707-sutter/menu/
The Crepe House,"Crepes, Desserts, French, Sandwiches","1755 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/44804-the-crepe-house/menu/
Pacific Catch,"Asian Fusion, Seafood","2027 Chestnut St San Francisco, CA, 94123 ",/ca/san-francisco/46699-pacific-catch/menu/
Ajisen Ramen,"Japanese, Noodles","865 Market Street San Francisco, CA, 94103 ",/ca/san-francisco/360618-ajisen-ramen/menu/
Crazy Pepper,Chinese,"2257 San Jose Avenue San Francisco, CA, 94112 ",/ca/san-francisco/301706-crazy-pepper/menu/
Puerto Alegre,Mexican,"546 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/157995-puerto-alegre/menu/
Amber India Restaurant,Indian,"25 Yerba Buena Ln San Francisco, CA, 94103 ",/ca/san-francisco/272967-amber-india-restaurant/menu/
CatHead's BBQ,Barbecue,"1665 Folsom St San Francisco, CA, 94103 ",/ca/san-francisco/307595-catheads-bbq/menu/
The Brixton,American (New),"2140 Union St, San Francisco, CA 94123 San Francisco, CA, 94123 ",/ca/san-francisco/326643-the-brixton/menu/
Burma Superstar,Burmese,"309 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/61883-burma-superstar/menu/
Coi,"Californian, French, Vegetarian","373 Broadway San Francisco, CA, 94133 ",/ca/san-francisco/49193-coi/menu/
Jasmine Tea House,"Chinese, Dim Sum","3259 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63670-jasmine-tea-house/menu/
Legion Of Honor Cafe,"Coffee & Tea, French","100 34th Ave San Francisco, CA, 94121 ",/ca/san-francisco/373300-legion-of-honor-cafe/menu/
Haystack Pizza Restaurant,"Italian, Pizza","3881 24th St San Francisco, CA, 94114 ",/ca/san-francisco/63629-haystack-pizza-restaurant/menu/
The Noodle House,"Noodles, Thai","1507 Sloat Blvd San Francisco, CA, 94132 ",/ca/san-francisco/62153-the-noodle-house/menu/
Chowder Hut,"American (New), Seafood, Soups","2890 Taylor St San Francisco, CA, 94133 ",/ca/san-francisco/373280-chowder-hut/menu/
Kiss Seafood,"Japanese, Seafood, Sushi","1700 Laguna St San Francisco, CA, 94115 ",/ca/san-francisco/275815-kiss-seafood/menu/
The Manor,Diner,"321 West Portal Avenue San Francisco, CA, 94127 ",/ca/san-francisco/62147-the-manor/menu/
Seniore's Pizza,Pizza,"2415 19th Ave San Francisco, CA, 94116 ",/ca/san-francisco/62171-seniores-pizza/menu/
Le Central Bistro,"Bistro, French","453 Bush St San Francisco, CA, 94108 ",/ca/san-francisco/269096-le-central-bistro/menu/
Micado Restaurant,"Japanese, Sushi","2126 Irving Street San Francisco, CA, 94122 ",/ca/san-francisco/44904-micado-restaurant/menu/
Sears Fine Food,"American, Diner","439 Powell St San Francisco, CA, 94102 ",/ca/san-francisco/22301-sears-fine-food/menu/
Zen Yai Thai Restaurant,Thai,"771 Ellis St San Francisco, CA, 94109 ",/ca/san-francisco/276109-zen-yai-thai-restaurant/menu/
Win Garden Chinese Restaurant,"Chinese, Dim Sum","2794 Diamond St San Francisco, CA, 94131 ",/ca/san-francisco/423723-win-garden-chinese-restaurant/menu/
Ted's Market & Deli,"Deli Food, Sandwiches","1530 Howard St San Francisco, CA, 94103 ",/ca/san-francisco/275818-teds-market-deli/menu/
Primo Pizza,"Pizza, Sandwiches, Wings","1064 Divisadero St San Francisco, CA, 94115 ",/ca/san-francisco/424703-primo-pizza/menu/
Sabra Grill,"Kosher, Mediterranean","419 Grant Ave San Francisco, CA, 94108 ",/ca/san-francisco/296609-sabra-grill/menu/
Thai Time Restaurant,Thai,"315 8th Ave San Francisco, CA, 94118 ",/ca/san-francisco/62193-thai-time-restaurant/menu/
Anh Hong Express,Vietnamese,"808 Geary St San Francisco, CA, 94109 ",/ca/san-francisco/44772-anh-hong-express/menu/
Helmand Palace Afghanistan Cuisine,Afghan,"2424 Van Ness Ave San Francisco, CA, 94109 ",/ca/san-francisco/282316-helmand-palace-afghanistan-cuisine/menu/
Clay Oven (West Portal),"Healthy, Indian","385 W Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/299535-clay-oven-west-portal/menu/
Original Buffalo Wings,"American, Wings","2499 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/46706-original-buffalo-wings/menu/
Arinell Pizza,Pizza,"509 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/63198-arinell-pizza/menu/
Balompie Cafe #3,Latin American,"3801 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/367500-balompie-cafe-3/menu/
Nama Sushi,"Japanese, Sushi","227 King St San Francisco, CA, 94107 ",/ca/san-francisco/44605-nama-sushi/menu/
Twin Peaks Pizza & Pasta,"Italian, Pizza","1681 Church St San Francisco, CA, 94131 ",/ca/san-francisco/61141-twin-peaks-pizza-pasta/menu/
PPQ Dungeness Island,"Seafood, Vietnamese","2332 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/62015-ppq-dungeness-island/menu/
Wasabi & Ginger,"Japanese, Sushi","2299 Van Ness Ave San Francisco, CA, 94109 ",/ca/san-francisco/131226-wasabi-ginger/menu/
The Morning Fix,"Coffee & Tea, Sandwiches","1008 Bush St San Francisco, CA, 94109 ",/ca/san-francisco/44750-the-morning-fix/menu/
Thai House Express,Thai,"599 Castro St San Francisco, CA, 94114 ",/ca/san-francisco/63683-thai-house-express/menu/
Goood Frikin Chicken,"Chicken, Mediterranean, Middle Eastern","10 29th St San Francisco, CA, 94110 ",/ca/san-francisco/63649-goood-frikin-chicken/menu/
The City Taqueria,Mexican,"1836 Divisadero St San Francisco, CA, 94115 ",/ca/san-francisco/49973-the-city-taqueria/menu/
Dos Pinas,Mexican,"251 Rhode Island Street San Francisco, CA, 94103 ",/ca/san-francisco/276344-dos-pinas/menu/
Jack in the Box,"American, Burgers","366 Bayshore Blvd San Francisco, CA, 94124 ",/ca/san-francisco/178043-jack-in-the-box/menu/
La Playa Taqueria,Mexican,"3817 Noriega St San Francisco, CA, 94122 ",/ca/san-francisco/44541-la-playa-taqueria/menu/
Golden Island Cafe,"Chinese, Desserts, Sandwiches","1300 Noriega St San Francisco, CA, 94122 ",/ca/san-francisco/44834-golden-island-cafe/menu/
Memphis Minnie's BBQ,"Barbecue, Soul Food","576 Haight St San Francisco, CA, 94117 ",/ca/san-francisco/63156-memphis-minnies-bbq/menu/
Beijing Restaurant #1,"Chinese, Dim Sum, Vegetarian","1801 Alemany Blvd San Francisco, CA, 94112 ",/ca/san-francisco/285482-beijing-restaurant-1/menu/
Tai Chi Chinese Restaurant,Chinese,"2031 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/45777-tai-chi-chinese-restaurant/menu/
Good Luck Dim Sum,"Chinese, Dim Sum","736 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62731-good-luck-dim-sum/menu/
Oyaji,"Japanese, Sushi","3123 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/275916-oyaji/menu/
Cesario's,Italian,"601 Sutter St San Francisco, CA, 94102 ",/ca/san-francisco/20779-cesarios/menu/
Mozzarella di Bufala Pizza,"Brazilian, Pizza","69 W Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/62151-mozzarella-di-bufala-pizza/menu/
The Napper Tandy,"Bar Food, Irish","3200 24th St San Francisco, CA, 94110 ",/ca/san-francisco/276380-the-napper-tandy/menu/
Cafe Xo,"Coffee & Tea, Sandwiches","1799 Church St San Francisco, CA, 94131 ",/ca/san-francisco/276352-cafe-xo/menu/
Rin's Thai Restaurant,Thai,"4301 24th St San Francisco, CA, 94114 ",/ca/san-francisco/276112-rins-thai-restaurant/menu/
La Laguna,Mexican,"3906 3rd St San Francisco, CA, 94124 ",/ca/san-francisco/114381-la-laguna/menu/
Chaya Brasserie,"French, Japanese, Sushi","132 The Embarcadero San Francisco, CA, 94105 ",/ca/san-francisco/45422-chaya-brasserie/menu/
Rigolo CafÃ©,"Bistro, French","3465 California Street San Francisco, CA, 94118 ",/ca/san-francisco/62728-rigolo-caf/menu/
Big Lantern,"Chinese, Dim Sum","3170 16th St San Francisco, CA, 94103 ",/ca/san-francisco/63202-big-lantern/menu/
Kamlok Seafood Restaurant,Chinese,"834 Washington St San Francisco, CA, 94108 ",/ca/san-francisco/46660-kamlok-seafood-restaurant/menu/
Kowloon Tong Dessert Cafe,"Chinese, Desserts","393 7th Ave San Francisco, CA, 94118 ",/ca/san-francisco/62776-kowloon-tong-dessert-cafe/menu/
Market Mayflower & Deli,"Deli Food, Sandwiches","985 Bush St San Francisco, CA, 94109 ",/ca/san-francisco/282301-market-mayflower-deli/menu/
Red Cafe,Diner,"2894 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/275897-red-cafe/menu/
Universal Bakery,"Bakery & Pastries, Latin American","3458 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/389333-universal-bakery/menu/
Mela Tandoori Kitchen,Indian,"536 Golden Gate Ave San Francisco, CA, 94102 ",/ca/san-francisco/275967-mela-tandoori-kitchen/menu/
Vanida Thai Kitchen,Thai,"3050 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/44780-vanida-thai-kitchen/menu/
Chabaa Thai Cuisine,Thai,"2123 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44909-chabaa-thai-cuisine/menu/
Barney's Gourmet Hamburgers,"Burgers, Hot Dogs","4138 24th Street San Francisco, CA, 94114 ",/ca/san-francisco/63610-barneys-gourmet-hamburgers/menu/
Laurel Court,"Californian, Healthy","950 Mason St San Francisco, CA, 94108 ",/ca/san-francisco/22254-laurel-court/menu/
Tenroku Sushi,"Japanese, Sushi","1825 Post St San Francisco, CA, 94115 ",/ca/san-francisco/373441-tenroku-sushi/menu/
The Double Play Bar and Grill,"American, Bar Food","2401 16th St San Francisco, CA, 94103 ",/ca/san-francisco/276359-the-double-play-bar-and-grill/menu/
Garaje,Mexican,"475 3rd St San Francisco, CA, 94107 ",/ca/san-francisco/356700-garaje/menu/
Nara Sushi,"Japanese, Sushi","1515 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/44482-nara-sushi/menu/
Pizzeria Avellino,Pizza,"2769 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/304145-pizzeria-avellino/menu/
Nan King Road Bistro,"Asian Fusion, Chinese, Thai","1360 9th Ave San Francisco, CA, 94122 ",/ca/san-francisco/44489-nan-king-road-bistro/menu/
Sushi Time,"Japanese, Sushi","2275 Market St San Francisco, CA, 94114 ",/ca/san-francisco/50151-sushi-time/menu/
Chang's Kitchen,,"1030 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/388781-changs-kitchen/menu/
A La Turca,Turkish,"869 Geary St San Francisco, CA, 94109 ",/ca/san-francisco/44810-a-la-turca/menu/
Taqueria Mana,Mexican,"439 Stockton St San Francisco, CA, 94108 ",/ca/san-francisco/46810-taqueria-mana/menu/
Bill's Place,"Burgers, Hot Dogs","2315 Clement St San Francisco, CA, 94121 ",/ca/san-francisco/62006-bills-place/menu/
Gyro King,"Mediterranean, Middle Eastern","25 Grove St San Francisco, CA, 94102 ",/ca/san-francisco/64952-gyro-king/menu/
Local Kitchen & Wine Merchant,"American (New), Local/Organic","330 First Street San Francisco, CA, 94105 ",/ca/san-francisco/269583-local-kitchen-wine-merchant/menu/
Chou Chou French Bistro,"Bistro, French","400 Dewey Blvd San Francisco, CA, 94116 ",/ca/san-francisco/21314-chou-chou-french-bistro/menu/
Good Noodle Pho Clement,"Chinese, Vietnamese","239 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62735-good-noodle-pho-clement/menu/
Limon Rotisserie,"Chicken, Peruvian, South American","524 Valencia St San Francisco, CA, 94110 ",/ca/san-francisco/267794-limon-rotisserie/menu/
Cajun House,Cajun & Creole,"308 5th Ave San Francisco, CA, 94118 ",/ca/san-francisco/307635-cajun-house/menu/
Il Casaro Pizzeria & Mozzarella Bar,"Italian, Pizza","348 Columbus Ave San Francisco, CA, 94133 ",/ca/san-francisco/388851-il-casaro-pizzeria-mozzarella-bar/menu/
Nick's Lighthouse,Seafood,"2815 Taylor Street San Francisco, CA, 94133 ",/ca/san-francisco/20903-nicks-lighthouse/menu/
V Cafe,"American, Cheesesteaks, Sandwiches","1525 Folsom St San Francisco, CA, 94103 ",/ca/san-francisco/276067-v-cafe/menu/
Golden King Vietnamese Restaurant,Vietnamese,"757 Clay Street San Francisco, CA, 94108 ",/ca/san-francisco/45697-golden-king-vietnamese-restaurant/menu/
Maykadeh,"Persian, Vegetarian","470 Green St San Francisco, CA, 94133 ",/ca/san-francisco/276056-maykadeh/menu/
Bean Bag Cafe,"Coffee & Tea, Crepes, French, Other, Sandwiches","601 Divisadero St San Francisco, CA, 94117 ",/ca/san-francisco/49941-bean-bag-cafe/menu/
Limon Rotisserie-,"Chicken, Peruvian, South American","1001 S Van Ness Ave San Francisco, CA, 94110 ",/ca/san-francisco/275684-limon-rotisserie/menu/
Round Table Pizza,"Pizza, Sandwiches","3567 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/50052-round-table-pizza/menu/
Spiazzo Ristorante,"Italian, Pizza","33 West Portal Ave San Francisco, CA, 94127 ",/ca/san-francisco/62149-spiazzo-ristorante/menu/
Pizza Zone ''N'' Grill (Valencia),"American (New), Pizza","178 Valencia St San Francisco, CA, 94103 ",/ca/san-francisco/276319-pizza-zone-n-grill-valencia/menu/
Alegrias,"Spanish, Tapas","2018 Lombard St San Francisco, CA, 94123 ",/ca/san-francisco/20795-alegrias/menu/
Donairo's Pizza,Pizza,"6905 Geary Blvd San Francisco, CA, 94121 ",/ca/san-francisco/141548-donairos-pizza/menu/
North Beach Pizza,"Italian, Pizza","800 Stanyan St San Francisco, CA, 94117 ",/ca/san-francisco/137851-north-beach-pizza/menu/
Sweet Chinito,"Coffee & Tea, Sandwiches","3100 Mission St San Francisco, CA, 94110 ",/ca/san-francisco/63643-sweet-chinito/menu/
Pop's Sandwich Shop,Sandwiches,"737 Portola Dr San Francisco, CA, 94127 ",/ca/san-francisco/276409-pops-sandwich-shop/menu/
Lucca Food Deli,"Deli Food, Sandwiches","1899 Irving St San Francisco, CA, 94122 ",/ca/san-francisco/44925-lucca-food-deli/menu/
Ananda Fuara,"Healthy, Vegan, Vegetarian","1298 Market St San Francisco, CA, 94102 ",/ca/san-francisco/114408-ananda-fuara/menu/
Chez Fayala,"Salads, Sandwiches","200 Pine St San Francisco, CA, 94104 ",/ca/san-francisco/308245-chez-fayala/menu/
Golden Kim Tar Restaurant,Chinese,"434 Larkin St San Francisco, CA, 94102 ",/ca/san-francisco/45539-golden-kim-tar-restaurant/menu/
Suzu Noodle House,"Japanese, Noodles, Sushi","1825 Post Street San Francisco, CA, 94115 ",/ca/san-francisco/93942-suzu-noodle-house/menu/
Sri Thai Cuisine,Thai,"4621 Lincoln Way San Francisco, CA, 94122 ",/ca/san-francisco/44519-sri-thai-cuisine/menu/
Extreme Pizza,Pizza,"1980 Union St San Francisco, CA, 94123 ",/ca/san-francisco/46700-extreme-pizza/menu/
Cafe Sappore,Eclectic & International,"790 Lombard St San Francisco, CA, 94133 ",/ca/san-francisco/45828-cafe-sappore/menu/
Mythic Pizza,"Pizza, Sandwiches","551 Haight St San Francisco, CA, 94117 ",/ca/san-francisco/63152-mythic-pizza/menu/
Sakana Sushi Bar & Grill,"Japanese, Sushi","605 Post St San Francisco, CA, 94109 ",/ca/san-francisco/275954-sakana-sushi-bar-grill/menu/
Sweet Lime Thai,Thai,"2100 Sutter St San Francisco, CA, 94115 ",/ca/san-francisco/301345-sweet-lime-thai/menu/
Taiwan Restaurant,"Chinese, Dim Sum","445 Clement St San Francisco, CA, 94118 ",/ca/san-francisco/62734-taiwan-restaurant/menu/
El Tesoro Taqueria & Grill,Mexican,"599 O'Farrell St San Francisco, CA, 94102 ",/ca/san-francisco/45521-el-tesoro-taqueria-grill/menu/
